영화제목,장르,감독,배우,개봉일,포스터이미지,영화줄거리
스트레이 키즈 : 더 도미네이트 익스피리언스,공연,,,20260204,https://image.tmdb.org/t/p/w500/cx2dZzVe7HfEUEhQNTWhSmnwI21.jpg,"스트레이 키즈 : 더 도미네이트 익스피리언스는 스트레이 키즈의 월드 투어로 관객을 이끌며, 폭발적인 라이브 퍼포먼스와 솔직한 인터뷰, 그리고 비하인드 스토리를 하나의 서사로 엮어낸다. 바쁜 투어 일정을 소화해 나가는 동안 멤버들은 음악과 팀워크, 그리고 공통된 열정이 무대 위와 무대 밖에서 어떻게 그들을 형성해왔는지 되짚는다. 무대 위의 강렬함과 정교함은 물론, 그들을 앞으로 나아가게 하는 창의성, 규율, 그리고 끈끈한 유대감을 조명한다. 준비 과정에서의 즐거움, 압박감, 그리고 순수한 환희의 순간을 통해, 멤버들은 자신들을 지금의 자리로 이끈 가치에 단단히 기반을 두고 새로운 도전에 임한다. 모든 여정의 중심에 STAY를 두고 써 내려가고 있는 이들의 이야기를 가장 가까운 시선으로 담아낸다."
노 머시: 90분,스릴러,티무르 베크맘베토브,"크리스 프랫, 레베카 퍼거슨, 애나벨 월리스, 크리스 설리반, 카일리 로저스",20260204,https://image.tmdb.org/t/p/w500/fQ8Q3VAybCt6fHFJQD0kwd5azNL.jpg,모든 진실을 데이터로만 판단하는 냉혹한 AI 재판 시스템 ‘MERCY’에 맞서 사형을 피하기 위해 90분 안에 자신의 무죄를 증명해야 하는 형사(크리스 프랫)의 숨 막히는 반격을 그린 타임리미트 스릴러
아바타: 불과 재,"SF, 액션, 어드벤처",제임스 카메론,"샘 워싱턴, 조 샐다나, 시고니 위버, 스티븐 랭, 케이트 윈슬렛, 클리프 커티스, 조엘 무어, 지오바니 리비시",20251217,https://image.tmdb.org/t/p/w500/dU7bFp3dbFUZxzP8OVsBLWb93QP.jpg,"인간들과의 전쟁으로 첫째 아들 ‘네테이얌’을 잃은 후, ‘제이크’와 ‘네이티리’는 깊은 슬픔에 빠진다. 상실에 빠진 이들 앞에 '바랑'이 이끄는 재의 부족이 등장하면서, 판도라는 더욱 큰 위험에 빠지게 되고, ‘설리’ 가족은 선택의 기로에 서게 되는데…"
주토피아 2,애니메이션,"재러드 부시, 바이론 하워드","지니퍼 굿윈, 제이슨 베이트먼, 키 호이 콴",20251126,https://image.tmdb.org/t/p/w500/ib6v6qUXzez1x2qIOLN7C0yJNPQ.jpg,"미스터리한 뱀 게리가 나타난 순간, 주토피아가 다시 흔들리기 시작했다! 혼란에 빠진 도시를 구하기 위해 환상의 콤비 주디와 닉이 잠입 수사에 나서고 상상 그 이상의 진실과 위협을 마주하게 되는데...!"
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",멜로/로맨스,김혜영,"추영우, 신시아, 조유정, 진호은, 이경화, 조한철, 조원식, 김동휘, 류선규, 문정현, 박재현, 문시환, 이헌진, 이석빈, 이채경, 소이한, 안태하, 이한익, 문지환, 공준호, 장재영, 한진서, 장유상, 윤기창, 김이슬, 김창호, 박준이, 이진, 조채윤, 박만준, 강민, 김효중, 박루미, 이경채, 이장규, 조경아, 조한비, 지예슬, 장은영, 황혜진, 박경택, 이승협, 임동준, 한기윤, 유아름, 정하윤, 김동호, 나경원, 박성호",20251224,https://image.tmdb.org/t/p/w500/bMA6E5cu1QUMehjBZOjWjqQjhey.jpg,하루가 지나면 모든 기억이 사라지는 특별한 여고생. 그녀 앞에 조용하고 다정한 같은 반 남학생이 나타난다. 매일이 첫날처럼 새로운 그들의 사랑은 과연 피어날 수 있을까?
극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,애니메이션,하시모토 마사카즈,"박영남, 김환진",20251224,https://image.tmdb.org/t/p/w500/hh2eWvm91RMIVQb0esjQab8sWgh.jpg,"떡잎마을 어린이 엔터 페스티벌에서 우승한 떡잎마을 방범대 짱구, 맹구, 철수, 유리, 훈이는 우승 상품으로 인도 엔터 페스티벌 무대에 초청받아, 여행을 만끽한다. 짱구와 맹구는 수상한 잡화점에서 코 모양처럼 생긴 배낭을 발견하고, 맹구는 배낭의 콧구멍에 꽂혀 있는 휴지(?)를 홀린 듯이 자신의 코에 꽂아버린다. 그 순간, 알 수 없는 힘이 맹구에게서 뿜어져 나오는데…! 겉보기에는 평범한 휴지 같은 이 종이의 비밀은 바로, 종이를 코에 꽂는 사람에게 욕망을 불러일으켜 무자비하고 제멋대로인 폭군으로 만들어 버리는 것. “나에 대해 다 아는 척하지 마” 순둥이 맹구, 흑화해서 폭군으로 대변신! 폭주를 시작한다!"
굿 포츈,"코미디, 판타지",아지즈 안사리,"키아누 리브스, 아지즈 안사리, 세스 로건, 산드라 오, 키키 팰머",20260107,https://image.tmdb.org/t/p/w500/mlpVu3aq1cOjlHOxd70NILlj1fc.jpg,"길 잃은 영혼의 수호천사가 되고 싶지만, 현실은 운전 중 문자하는 인간들을 보호하는 작은 날개의 초짜 천사 가브리엘. 열심히 살아도 차에서 노숙하는 삶을 못 벗어나며 절망에 빠진 N잡러 아지를 구원하기 위해 금수저인 벤처 투자자 제프와 삶을 바꿔준다. 하루아침에 극과 극으로 변한 아지와 제프의 삶은 가브리엘의 의도와 다르게 흘러가고, 이에 대한 책임으로 가브리엘은 날개를 반납하고 인간으로 강등당하는데… 인생이 뒤바뀐 아지와 제프, 인간이 된 가브리엘 이 세 남자의 유쾌한 좌충우돌 운명 재도전기가 펼쳐진다!"
피렌체,드라마,이창열,"김민종, 예지원, 해리 벤자민, 유정하, 김다현, 김주원, 장태훈, 민경진",20260107,https://image.tmdb.org/t/p/w500/x2nkMYw5CZ2FAc36JBtEuybq5Qr.jpg,"권고사직과 무기력에 시달리며 삶의 방향을 잃은 석인은 젊은 시절 자신의 열정이 숨쉬던 이탈리아 피렌체로 떠난다. 그곳에서 오랜 인연의 유정과 재회하고, 과거 자신이 버리고 떠난 기억과 감정을 마주한다. 도시의 빛과 그림자 속에서 피렌체의 시간은 다시 삶을 살아 볼 수 있게 하는, 작은 용기를 조용히 건넨다."
파더 마더 시스터 브라더,드라마,짐 자무쉬,"케이트 블란쳇, 비키 크립스, 아담 드라이버, 톰 웨이츠",20251231,https://image.tmdb.org/t/p/w500/jid3LHJM91QdHrYFtghsJDLg2HM.jpg,"미국 북동부, 아일랜드 더블린, 프랑스 파리. 거리만큼 관계도 멀어진 세 가족의 오랜만의 만남을 섬세하고 우아하게 담은 작품."
시스터,스릴러,진성문,"정지소, 이수혁, 차주영, 정지우",20260128,https://image.tmdb.org/t/p/w500/3E75PG1Tc9SpRa6LMaIa2qyNxT4.jpg,"동생의 수술 비용을 마련하기 위해 거액의 돈이 필요한 해란은 태수와 이복언니 소진을 납치한다. 눈 떠보니 낯선 공간에 감금된 소진. 해란과 태수는 부잣집 딸 소진의 몸값으로 10억 원을 요구한다. 납치범 해란이 이복동생이라는 사실을 알게 된 소진은 언니와 동생, 피해자와 가해자라는 위태로운 공조를 시작하고 무자비한 태수를 상대로 반격을 가하는데…"
윗집 사람들,"드라마, 코미디",하정우,"하정우, 공효진, 김동욱, 이하늬",20251203,https://image.tmdb.org/t/p/w500/7FJTNAJEC8Y41RhlLtbJ5xeFKSO.jpg,"불같던 결혼 생활은 사라지고 무미건조한 일상만 남은 정아와 현수. 요즘 두 사람을 가장 괴롭히는 건, 매일 밤 지나치게 활기찬 소리를 내는 윗집 부부 김 선생과 수경이다. 정아는 이사 공사 소음을 참아준 윗집 부부를 위해 예의상 저녁 식사 자리를 마련하고 그날 저녁, 식탁에 마주 앉은 윗집 부부는 정아와 현수에게 전혀 예상하지 못한 제안을 하게 되는데…"
뽀로로 극장판 스위트캐슬 대모험,애니메이션,천유림,"이선, 이미자, 김현지, 홍소영, 정미숙, 김서영, 김환진, 한신, 엄상현, 윤용식, 김다올, 유 영, 미나리",20251211,https://image.tmdb.org/t/p/w500/38VavZHCg9Sf7hl0H7n0iakYoxf.jpg,"마녀 '버니'의 마법으로 인형이 되어버린 산타 할아버지! 올해의 크리스마스 디저트를 완성할 마법 재료 ‘산타의 토핑’이 디저트 왕국에 전해지지 못하면, 크리스마스는 사라지고 만다. 산타를 대신해 디저트 왕국으로 떠난 뽀로로와 친구들! 하지만 모험 속에서 '포비'와 '패티'마저 인형으로 변하고, 악당 ‘닥터 초콜레오’로 인해 왕국은 온통 초콜릿에 뒤덮이고 마는데... 과연 뽀로로와 친구들은 모두가 기다리는 크리스마스를 지켜낼 수 있을까?"
프레디의 피자가게 2,"공포(호러), 스릴러",엠마 타미,"조쉬 허처슨, 엘리자베스 라일, 파이퍼 루비오",20251203,https://image.tmdb.org/t/p/w500/kEmPnUUXaF9hPgDMlc0eJht5JYO.jpg,"소문과 괴담에 휘말려 폐업한 ‘프레디의 피자가게’ 본점이 수십년 만에 다시 열리고, 그곳에 오랫동안 잠들어 있던 신형 프레디와 친구들이 눈을 뜨게 된다. 안면 인식 시스템을 가진 한층 더 기괴하고 오싹해진 신형 애니메트로닉스들은 이제 피자가게 밖으로 나와 세상을 공포에 몰아넣기 시작하는데…"
극장판 주술회전: 시부야사변 X 사멸회유,애니메이션,고쇼조노 쇼타,,20251203,https://image.tmdb.org/t/p/w500/ifK2v7oQQrgqrmDu7sr1TgoAPT9.jpg,"2018년 10월 31일 시부야 역 주변에 갑자기 ‘장막’이 내려지고, 다수의 일반인이 갇히게 된다. 그곳에 홀로 뛰어든 현대 최강의 주술사, 고죠 사토루. 그러나 그곳에는 고죠의 봉인을 꾀하는 주저사·주령들이 기다리고 있었다. 시부야에 집결하는 이타도리 유지를 비롯한 수많은 주술사들. 전례 없는 대규모 주술전 「시부야사변」이 시작된다—. 그리고 싸움은, 최악의 주술사 카모 노리토시가 꾸민 데스 게임 「사멸회유」로 이어진다. 「시부야사변」을 거쳐, 마굴로 변한 전국 10개의 결계(콜로니). 대혼란의 한가운데, 이타도리의 사형 집행인으로 특급 주술사 옷코츠 유타가 나타난다. 절망 속에서도 싸움을 계속하는 이타도리. 무정하게도 칼날을 겨누는 옷코츠. 가속해가는 저주의 혼돈. 같은 스승을 둔 이타도리와 옷코츠, 두 사람의 사투가 시작된다——."
위키드: 포 굿,"판타지, 뮤지컬, 어드벤처",존 추,"신시아 에리보, 아리아나 그란데, 조나단 베일리, 에단 슬레이터, 보웬 양, 마리사 보데, 양자경, 제프 골드블럼",20251119,https://image.tmdb.org/t/p/w500/t6yyCHES6nGJUeFfTt6zfzIUBjX.jpg,전혀 다르지만 서로에게 가장 소중한 친구가 된 ‘엘파바’와 ‘글린다’. 쉬즈에서의 마법같았던 둘의 우정은 오즈의 마법사와 그를 둘러싼 비밀들을 알게 되면서 다른 길을 선택할 수밖에 없게 내몰린다. 사람들의 시선을 더 이상 두려워하지 않게 된 사악한 마녀 ‘엘파바’와 사람들의 사랑을 받으면서도 모든 걸 잃을까 두려운 착한 마녀 ‘글린다’. 서로 대척점에 서게 된 두 사람은 거대한 여정의 끝에서 운명을 영원히 바꿀 선택을 마주하게 된다.
더 러닝 맨,액션,에드가 라이트,"글렌 파월, 윌리엄 H. 메이시, 리 페이스, 콜먼 도밍고, 조슈 브롤린",20251210,https://image.tmdb.org/t/p/w500/klfSEbFOquMFjBQJ5uKAfp0rrsK.jpg,실직한 가장 ‘벤 리처즈’가 거액의 상금을 위해 30일간 잔인한 추격자들로부터 살아남아야 하는 글로벌 서바이벌 프로그램에 참가하며 펼쳐지는 추격 액션 블록버스터
여행과 나날,드라마,미야케 쇼,"심은경, 츠츠미 신이치, 카와이 유미",20251210,https://image.tmdb.org/t/p/w500/2cDSPuO0zlZdZRCMfWjbllmGah0.jpg,"어느 여름, 도시에서 온 여자는 한적한 바닷가에서 어머니의 고향을 찾은 남자와 우연히 만난다. 어느 겨울, 슬럼프에 빠진 작가는 눈으로 덮인 산속에서 홀로 여관을 지키는 주인장을 찾는다. 이는 몇 해 전, 한 감독의 제안으로 쓴 영화 시나리오를 떠올릴 때마다 여행에 대해 생각한다. 그리고 멘토였던 교수가 남긴 유품을 지닌 채, 말이라는 틀에서 벗어나기 위해 홀연히 여행을 떠난다."
극장판 체인소 맨: 레제편,"애니메이션, 액션, 어드벤처",,,20250924,https://image.tmdb.org/t/p/w500/oTn0PoR8gSMpMqJaT2pUtkkN0Ia.jpg,"데블 헌터로 일하는 소년 ‘덴지’는 조직의 배신으로 죽음에 내몰린 순간 전기톱 악마견 ‘포치타’와의 계약으로 하나로 합쳐져 누구도 막을 수 없는 존재 ‘체인소 맨’으로 다시 태어난다. 악마와 사냥꾼, 그리고 정체불명의 적들이 얽힌 잔혹한 전쟁 속에서 ‘레제’라는 이름의 미스터리한 소녀가 ‘덴지’ 앞에 나타나는데… ‘덴지’는 사랑이라는 감정에 이끌려 지금껏 가장 위험한 배틀에 몸을 던진다!"
나우 유 씨 미 3,"범죄, 액션",루벤 플레셔,"제시 아이젠버그, 우디 해럴슨, 데이브 프랭코, 아일라 피셔, 저스티스 스미스, 도미닉 세사, 아리아나 그랜블랫, 로자먼드 파이크, 모건 프리먼",20251112,https://image.tmdb.org/t/p/w500/dECA069mRikkghzgSBsM0cvic4F.jpg,"한때 더러운 방식으로 돈을 모으는 재벌들을 시원하게 혼내주던 마술사기단 ‘포 호스맨’. 은퇴 후 평범한 삶을 살고 있던 그들에게 새로운 임무를 알리는 의미심장한 카드가 배달된다. 그렇게 다시 모이게 된 오리지널 ‘포 호스맨’은 자신들을 흉내 내던 신예 마술사들까지 영입하며 미션을 준비한다. 그들의 목표는 무기 밀매, 자금 세탁 등 더러운 돈에 물든 ‘하트 다이아몬드’를 훔치는 것. 하지만 다이아몬드를 훔치고, 통쾌한 쇼를 선보이려는 이들 앞에는 수많은 함정이 펼쳐지는데…"
퍼스트 라이드,"코미디, 드라마",남대중,"강하늘, 김영광, 차은우, 강영석, 한선화, 배우진, 김희성, 김도경, 이대겸, 이도윤",20251029,https://image.tmdb.org/t/p/w500/quzQxlecSoUeHs1W2D2g0FJnYCP.jpg,"어린 시절부터 한 몸처럼 붙어 다닌 24년 지기 사총사, 태정, 도진, 연민, 금복의 꿈은 바로 함께 하는 여행! 학창 시절에 이루지 못했던 꿈을 위해 생애 첫 해외여행을 떠나는 날, 계획에 없던 옥심까지 합류하며 이들의 여행은 점점 환장의 세계로 흘러가는데…!"
프레데터: 죽음의 땅,"SF, 액션",댄 트라첸버그,엘 패닝,20251105,https://image.tmdb.org/t/p/w500/8lpCbwbYh9SSzCFsHDndZHKrcD4.jpg,"프레데터로서 존재를 증명하기 위해 우주에서 가장 위험한 행성으로 첫 사냥에 나선 덱. 죽음의 땅에 도사린 모든 것으로부터 공격을 받던 순간, 휴머노이드 티아를 만난다. 최상위 포식자 칼리스크에 맞서게 된 둘은 생존과 각자의 목적을 위해 극한의 사투를 벌이게 되는데…"
8번 출구,"스릴러, 공포(호러)",카와무라 겐키,"니노미야 카즈나리, 고마츠 나나",20251022,https://image.tmdb.org/t/p/w500/uId1j785aRg5hGDj49SRpQZrEJV.jpg,방심하는 순간 영원히 이곳에 갇힌다! 무한루프 속 이상 현상을 찾아 탈출하라! 끝없이 반복되는 지하도에 갇힌 ‘헤매는 남자’. 아래의 규칙에 따라 8번 출구로 탈출해야만 한다. 1. 단 하나의 이상 현상도 놓치지 말 것. 2. 이상 현상을 발견하면 즉시 되돌아갈 것. 3. 이상 현상이 없다면 앞으로 나아갈 것. 4. 8번 출구를 통해서 밖으로 나갈 것.
코렐라인,"애니메이션, 가족, 판타지, 어드벤처, 드라마",헨리 셀릭,"다코타 패닝, 테리 해처, 키스 데이빗",20090521,https://image.tmdb.org/t/p/w500/iGp4wBc0ZBVFd2HPicyDgl6Pn1r.jpg,"새로운 집으로 이사 온 열한 살 소녀 코렐라인은 모든 것이 낯설기만 하고, 늘 바쁜 부모님 때문에 외로운 날들을 보낸다. 호기심 많은 코렐라인은 홀로 집과 동네를 탐험하다 동네 소년 와이비와 개성 넘치는 이웃들을 만나게 된다. 그러던 어느 날, 집 안에 숨겨진 작은 비밀 문을 발견한 코렐라인은 문을 열고 어두운 통로를 지나 들어간다. 그곳은 현실과 꼭 닮았지만, 훨씬 더 완벽해 보이는 또 다른 세계였다. ‘다른 엄마’와 ‘다른 아빠’는 언제나 그녀를 따뜻하게 맞이하고, 신비로운 검은 고양이는 그림자처럼 곁을 맴돌며 호기심을 자극한다. 처음엔 꿈만 같은 낯선 세계였지만, 점점 그곳의 숨겨진 진실이 드러나기 시작하는데..."
세계의 주인,드라마,윤가은,"서수빈, 장혜진, 김정식, 강채윤, 이재희, 박지윤, 김예창, 고민시, 백현주, 변중희, 문혜인, 김민지, 오정원, 김윤정, 이상희, 이대연, 김석훈, 최강현, 최가인, 손승범, 이서이, 김지민, 정은경, 김준범, 김그림, 김도형",20251022,https://image.tmdb.org/t/p/w500/1UrMMAChGXORYrbCef7GNId98Vk.jpg,"반장, 모범생, 학교 인싸인 동시에 연애가 가장 큰 관심사인 열여덟 이주인. 어느 날, 반 친구 수호가 제안한 서명운동에 전교생이 동참하던 중 오직 주인만이 내용에 동의할 수 없다며 나 홀로 서명을 거부한다. 어떻게든 설득하려는 수호와 단호한 주인의 실랑이가 결국 말싸움으로 번지고, 화가 난 주인이 아무렇게나 질러버린 한마디가 주변을 혼란에 빠뜨린다. 설상가상, 주인을 추궁하는 익명의 쪽지가 배달되기 시작하는데……."
부고니아,"스릴러, 코미디",요르고스 란티모스,"엠마 스톤, 제시 플레먼스, 알리시아 실버스톤",20251105,https://image.tmdb.org/t/p/w500/ko6Wxr4sB9RM3pJb5JlWPqiSOIp.jpg,"벌들은 사라지고, 지구는 병들고 있고, 인류는 고통받고 있다. 거대 바이오 기업의 물류센터 직원인 테디는 이 모든 것이 은밀하게 진행되고 있는 외계인의 지구침공 계획 때문이고, 사장 미셸이 안드로메다에서 온 외계인이라고 굳게 믿는다. 오랜 준비 끝, 함께 사는 사촌 동생 돈과 함께 결국 미셸을 납치하는데 성공한 테디. 그는 지하실에 미셸을 감금한 채 지구를 찾아온 이유와 앞으로의 음모를 캐묻지만 자신은 외계인이 아니라는 말만 반복하는 미셸. 과연 테디는 미셸에게서 원하는 답을 얻고 지구를 지킬 수 있을까?"
명탐정 코난: 척안의 잔상,애니메이션,시게하라 카츠야,"김선혜, 강수진, 이정구, 현경수, 김율, 김기흥, 박성태, 손수호, 이현진, 유해무, 우정신, 김도희, 여민정, 정선혜",20250716,https://image.tmdb.org/t/p/w500/40nUEiyj9j7y2rryZf1JE9qp8ut.jpg,"국립천문대 노베야마의 괴한 침입 사건을 조사하던 나가노현경 형사 야마토 칸스케. 사건을 수사하던 중, 천문대의 파라볼라 안테나가 움직이자 10개월 전 눈사태 속 총격 피습으로 인한 왼쪽 눈의 상처에 갑자기 통증이 이는데… 그날 밤, 모리 코고로에게 형사 시절의 옛 동료 와니 형사의 전화가 걸려 온다. 나가노현 눈사태 사고의 내막을 조사하고 있던 와니는 사건 파일에서 모리 탐정의 이름을 발견, 참고 차 모리 탐정과 만나기로 한다. 약속 당일, 코난과 란도 모리 탐정을 따라 약속 장소로 향하지만 그곳에서 의문의 총성이 울려 퍼진다."
보스,"코미디, 액션",라희찬,"조우진, 정경호, 박지환, 이규형, 오달수, 황우슬혜, 정유진, 고창석, 이성민",20251003,https://image.tmdb.org/t/p/w500/tOMd1oZxW0FR0jATgSMavI4igcS.jpg,"조직의 미래가 걸린 차기 보스 선출을 앞두고, 각자의 꿈을 위해 서로에게 보스 자리를 치열하게 양보하려는 조직원들의 필사적인 대결을 그린 작품. 차기 보스 0순위지만, 조직이 아닌 중식당 미미루로 전국구 평정을 꿈꾸는 순태. 조직 내 입지는 충분하나 운명처럼 만난 탱고에 인생을 건, 차기 보스 유력자 강표. 유일하게 보스를 갈망하지만, 그 누구도 보스감이라 생각하지 않는, 보스 부적격자 판호. 그리고 미미루 배달원으로 잠입한 언더커버 경찰 태규까지 가세하며 치열한 보스 양보 전은 예측불허 대혼란으로 치닫는데.."
